,,,,
,,,,
,,,,
,,,,
,,Some college/associate's degree,Bachelor's degree,Advanced degree
,,Number with earnings,Number with earnings,Number with earnings
,,,,
,,,,
,,,,
,,,,
Total,2018,46887,40231,23118
Total,2017,47382,39153,22277
Total,2016,48128,37272,21639
Total,2015,47961,36348,21199
Total,2014,47023,35305,19944
Total,2013,46952,34422,19261
Total,2012,47469,33948,18783
Total,2011,45999,33188,17800
Total,2010,45604,32371,17582
Total,2009,45239,32127,16860
Total,2008,46663,31890,17035
,,,,
,,,,
White,2018,36543,31770,17702
White,2017,36748,31127,17190
White,2016,37481,29950,16701
White,2015,37686,29216,16640
White,2014,36920,28313,15823
White,2013,37388,27869,15439
White,2012,37706,27651,14967
White,2011,36861,27096,14391
White,2010,36609,26579,14326
White,2009,37035,26595,13887
White,2008,37891,26487,13973
,,,,
,,,,
Non-Hispanic White,2018,29939,28312,16281
Non-Hispanic White,2017,30141,27773,15941
Non-Hispanic White,2016,30953,26916,15510
Non-Hispanic White,2015,31693,26508,15438
Non-Hispanic White,2014,31236,25783,14808
Non-Hispanic White,2013,31688,25437,14432
Non-Hispanic White,2012,32362,25246,14039
Non-Hispanic White,2011,31780,24891,13529
Non-Hispanic White,2010,31698,24425,13473
Non-Hispanic White,2009,32430,24533,13095
Non-Hispanic White,2008,33221,24445,13230
,,,,
,,,,
Black,2018,6651,3837,2145
Black,2017,6816,3740,1932
Black,2016,6841,3394,1873
Black,2015,6606,3220,1725
Black,2014,6605,3084,1642
Black,2013,6228,2997,1517
Black,2012,6398,2854,1459
Black,2011,5964,2796,1380
Black,2010,5969,2593,1255
Black,2009,5577,2583,1162
Black,2008,5933,2550,1216
,,,,
,,,,
,,,,
,,,,
Asian,2018,1826,3660,2795
Asian,2017,1894,3353,2759
Asian,2016,1996,3022,2627
Asian,2015,1847,3056,2429
Asian,2014,1792,3106,2123
Asian,2013,1767,2755,2003
Asian,2012,1744,2717,2040
Asian,2011,1582,2645,1743
Asian,2010,1629,2576,1707
Asian,2009,1356,2376,1569
Asian,2008,1466,2298,1600
,,,,
,,,,
,,,,
Hispanic Origin,2018,7523,3910,1641
Hispanic Origin,2017,7587,3767,1428
Hispanic Origin,2016,7404,3421,1373
Hispanic Origin,2015,6887,3096,1409
Hispanic Origin,2014,6541,2852,1171
Hispanic Origin,2013,6524,2759,1090
Hispanic Origin,2012,6042,2707,1054
Hispanic Origin,2011,5773,2528,966
Hispanic Origin,2010,5551,2390,935
Hispanic Origin,2009,5036,2256,837
Hispanic Origin,2008,5149,2225,802
,,,,
,,,,
,,,,
,,,,
,,,,
Asian Alone or In Combo,2018,2111,3902,2948
Asian Alone or In Combo,2017,2149,3573,2848
Asian Alone or In Combo,2016,2246,3189,2729
Asian Alone or In Combo,2015,2051,3259,2501
Asian Alone or In Combo,2014,1974,3294,2222
Asian Alone or In Combo,2013,1984,2948,2094
Asian Alone or In Combo,2012,1989,2865,2113
Asian Alone or In Combo,2011,1796,2784,1804
Asian Alone or In Combo,2010,1832,2713,1770
Asian Alone or In Combo,2009,793,1237,976
Asian Alone or In Combo,2008,1630,2403,1649
